suspicious,source,score
suspicious-document00037.txt,source-document04097.txt,0.862947658
suspicious-document00099.txt,source-document00927.txt,0.701358332
suspicious-document00152.txt,source-document05228.txt,0.65241804
suspicious-document00183.txt,source-document10668.txt,0.665031678
suspicious-document00225.txt,source-document05015.txt,0.639528656
suspicious-document00283.txt,source-document00544.txt,0.731343284
suspicious-document00314.txt,source-document07633.txt,0.706877529
suspicious-document00327.txt,source-document06857.txt,0.47300216
suspicious-document00455.txt,source-document06679.txt,0.752224639
suspicious-document00639.txt,source-document03620.txt,0.543810848
suspicious-document00654.txt,source-document08183.txt,0.91422367
suspicious-document00660.txt,source-document01652.txt,0.651180503
suspicious-document00673.txt,source-document09141.txt,0.789974743
suspicious-document00732.txt,source-document07331.txt,0.640612726
suspicious-document00743.txt,source-document05548.txt,0.912058024
suspicious-document00795.txt,source-document03080.txt,0.983395459
suspicious-document00814.txt,source-document02806.txt,0.736685842
suspicious-document00968.txt,source-document04153.txt,0.473766641
suspicious-document01011.txt,source-document06737.txt,0.862011638
suspicious-document01021.txt,source-document09189.txt,0.463027487
suspicious-document01025.txt,source-document08184.txt,0.71559633
suspicious-document01100.txt,source-document00207.txt,0.724175036
suspicious-document01501.txt,source-document07450.txt,0.68814433
suspicious-document01505.txt,source-document10187.txt,0.750690335
suspicious-document01549.txt,source-document10073.txt,0.668609635
suspicious-document01610.txt,source-document06931.txt,0.541486514
suspicious-document01688.txt,source-document01080.txt,0.652008795
suspicious-document01763.txt,source-document04691.txt,0.822143698
suspicious-document01783.txt,source-document04805.txt,0.521074686
suspicious-document01854.txt,source-document04579.txt,0.647435897
suspicious-document01872.txt,source-document03037.txt,0.520332717
suspicious-document01888.txt,source-document01729.txt,0.667206478
suspicious-document01907.txt,source-document03402.txt,0.87471868
suspicious-document02002.txt,source-document05926.txt,0.736097068
suspicious-document02029.txt,source-document09473.txt,0.901702361
suspicious-document02036.txt,source-document05663.txt,0.581461204
suspicious-document02039.txt,source-document10022.txt,0.722956087
suspicious-document02063.txt,source-document01167.txt,0.834725189
suspicious-document02064.txt,source-document09149.txt,0.646456693
suspicious-document02071.txt,source-document08821.txt,0.626339286
